id;name;life;description;rarity;type;effect;origin
1.;Tralalero Tralala;;;;;;
2.;Bombardiro Crocodilo;;;;;;
3.;Bombombini Gusini ;;;;;;
4.;Lirili Larila ;;;;;;
5.;Brr Brr Patapim ;;;;;;
6.;Brr Brr Tarflem ;;;;;;
7.;Trulimero Trulicina ;;;;;;
8.;Zhuzhuli Buffo ;;;;;;
9.;Tortitilli Mortiri ;;;;;;
10.;Cocosatic Bungus ;;;;;;
11.;Frulli Frulla ;;;;;;
12.;La Vaca Saturno Saturnita ;;;;;;
13.;Penisini de Cocodrilo ;;;;;;
14.;Bri Bri Bicus Dicus ;;;;;;
15.;Serpentini Toiletini ;;;;;;
16.;Bobritto Bandido ;;;;;;
17.;Glorbo Fruttodrillo ;;;;;;
18.;Camelrino Tazzino ;;;;;;
19.;Chimpancés Bananini ;;;;;;
20.;Shimpanzini Bananini Priestini;;;;;;
19.;Rantasanta Chinaranta ;;;;;;
20.;La Sombra Iluminada ;;;;;;
19.;Hansana Germana ;;;;;;
24.;Sr. Gelantulone el Gerente ;;;;;;
25.;El Razonamiento del Vuoto ;;;;;;
26.;Akulini Cactusini ;;;;;;
27.;Mozzarella de Búfala ;;;;;;
28.;Bailarina Capuchina ;;;;;;
29.;Bombardero Lucertola ;;;;;;
30.;Trippi Troppi ;;;;;;
31.;Burbaloni Luliloli ;;;;;;
32.;Capuchino Asesino ;;;;;;
33.;Talpa Di Ferro ;;;;;;
34.;Tracotocutulo ;;;;;;
35.;Bobrini Cocosini ;;;;;;
36.;Frigo Camello ;;;;;;
37.;El Szczurito Kurwito Golfito ;;;;;;
38.;Crocodildo Penisini ;;;;;;
39.;Bobritto Bandito ;;;;;;
40.;Markus der Kaktus ;;;;;;
41.;Jochen der Mantarochen ;;;;;;
42.;Mira la Cebra con Lepra ;;;;;;
43.;Peligroso Bearito ;;;;;;
44.;Meterito Bearito ;;;;;;
45.;Tung Tung Tung Sahur ;;;;;;
46.;Istri Tung Tung Tung Sahur ;;;;;;
47.;Anak Tung Tung Tung Sahur ;;;;;;
48.;Tung Tang Tung Tang Tung Shafar ;;;;;;
49.;Garamaraman dan Madudungdung tak Tuntung Perkuntung ;;;;;;
50.;Hasta Tobi Tob Tob ;;;;;;
51.;Generale struzzo barba;;;;;;
